Test No,Pin No,Mating Pin,Connectors,Part No,Harness,Harness Name
T4,T4A1,1,IM2EK,C23NT10233,FMX03799,CAB WDL STD RHD - WIRING HARNESS
T4,T4A2,5,IM2EK,C23NT10233,FMX03799,CAB WDL STD RHD - WIRING HARNESS
T4,T4A3,7,IM2EK,C23NT10233,FMX03799,CAB WDL STD RHD - WIRING HARNESS
T4,T4A4,8,IM2EK,C23NT10233,FMX03799,CAB WDL STD RHD - WIRING HARNESS
T4,T4A5,13,IM2EK,C23NT10233,FMX03799,CAB WDL STD RHD - WIRING HARNESS
T4,T4A6,16,IM2EK,C23NT10233,FMX03799,CAB WDL STD RHD - WIRING HARNESS
T4,T4A7,17,IM2EK,C23NT10233,FMX03799,CAB WDL STD RHD - WIRING HARNESS
T4,T4A8,18,IM2EK,C23NT10233,FMX03799,CAB WDL STD RHD - WIRING HARNESS
T4,T4A9,22,IM2EK,C23NT10233,FMX03799,CAB WDL STD RHD - WIRING HARNESS
T4,T4A10,23,IM2EK,C23NT10233,FMX03799,CAB WDL STD RHD - WIRING HARNESS
T4,T4A11,1,IM2E-CC,C8NT10231,FMX03799,CAB WDL STD RHD - WIRING HARNESS
T4,T4A12,2,IM2E-CC,C8NT10231,FMX03799,CAB WDL STD RHD - WIRING HARNESS
T4,T4A13,3,IM2E-CC,C8NT10231,FMX03799,CAB WDL STD RHD - WIRING HARNESS
T4,T4A14,4,IM2E-CC,C8NT10231,FMX03799,CAB WDL STD RHD - WIRING HARNESS
T4,T4A15,6,IM2E-CC,C8NT10231,FMX03799,CAB WDL STD RHD - WIRING HARNESS
T4,T4A16,7,IM2E-CC,C8NT10231,FMX03799,CAB WDL STD RHD - WIRING HARNESS
T4,T4A17,8,IM2E-CC,C8NT10231,FMX03799,CAB WDL STD RHD - WIRING HARNESS
T4,T4A18,1,IM2EC,C6NT10237,FMX03799,CAB WDL STD RHD - WIRING HARNESS
T4,T4A19,2,IM2EC,C6NT10237,FMX03799,CAB WDL STD RHD - WIRING HARNESS
T4,T4A20,,,,,
T4,T4A21,,,,,
T4,T4A22,,,,,
T4,T4A23,,,,,
T4,T4A24,,,,,
T4,T4A25,,,,,
T4,T4B1,1,FB2E,C15NR10069,FAG17100,CHASSIS WIRING HARNESS
T4,T4B2,2,FB2E,C15NR10069,FAG17100,CHASSIS WIRING HARNESS
T4,T4B3,3,FB2E,C15NR10069,FAG17100,CHASSIS WIRING HARNESS
T4,T4B4,4,FB2E,C15NR10069,FAG17100,CHASSIS WIRING HARNESS
T4,T4B5,5,FB2E,C15NR10069,FAG17100,CHASSIS WIRING HARNESS
T4,T4B6,8,FB2E,C15NR10069,FAG17100,CHASSIS WIRING HARNESS
T4,T4B7,9,FB2E,C15NR10069,FAG17100,CHASSIS WIRING HARNESS
T4,T4B8,10,FB2E,C15NR10069,FAG17100,CHASSIS WIRING HARNESS
T4,T4B9,11,FB2E,C15NR10069,FAG17100,CHASSIS WIRING HARNESS
T4,T4B10,1,IME2E,C6NR10457,FFJ00600,MAIN EXTERIOR HARNESS
T4,T4B11,2,IME2E,C6NR10457,FFJ00600,MAIN EXTERIOR HARNESS
T4,T4B12,3,IME2E,C6NR10457,FFJ00600,MAIN EXTERIOR HARNESS
T4,T4B13,,,,,
T4,T4B14,,,,,
T4,T4B15,,,,,
T4,T4B16,,,,,
T4,T4B17,,,,,
T4,T4B18,,,,,
T4,T4B19,,,,,
T4,T4B20,,,,,
T4,T4B21,,,,,
T4,T4B22,,,,,
T4,T4B23,,,,,
T4,T4B24,,,,,
T4,T4B25,,,,,
T4,T4C1,1,BAP2AC,C25NT10150,,
T4,T4C2,3,BAP2AC,C25NT10150,,
T4,T4C3,4,BAP2AC,C25NT10150,,
T4,T4C4,6,BAP2AC,C25NT10150,,
T4,T4C5,7,BAP2AC,C25NT10150,,
T4,T4C6,8,BAP2AC,C25NT10150,,
T4,T4C7,9,BAP2AC,C25NT10150,,
T4,T4C8,11,BAP2AC,C25NT10150,,
T4,T4C9,12,BAP2AC,C25NT10150,,
T4,T4C10,13,BAP2AC,C25NT10150,,
T4,T4C11,15,BAP2AC,C25NT10150,,
T4,T4C12,16,BAP2AC,C25NT10150,,
T4,T4C13,17,BAP2AC,C25NT10150,,
T4,T4C14,18,BAP2AC,C25NT10150,,
T4,T4C15,,,,,
T4,T4C16,,,,,
T4,T4C17,,,,,
T4,T4C18,,,,,
T4,T4C19,,,,,
T4,T4C20,,,,,
T4,T4C21,,,,,
T4,T4C22,,,,,
T4,T4C23,1,loose wires,,,
T4,T4C24,1,loose wires,,,
T4,T4C25,1,loose wires,,,
,,,,,,
