Test No,Pin No,Mating Pin,Connectors,Part No,Harness,Harness Name
T3,T3G7,D3,BCU-B,,,
T3,T3G8,E1,BCU-B,,,
T3,T3G9,E4,BCU-B,,,
T3,T3G10,F3,BCU-B,,,
T3,T3G11,F4,BCU-B,,,
T3,T3G12,G1,BCU-B,,,
T3,T3G13,G2,BCU-B,,,
T3,T3G14,L1,BCU-B,,,
T3,T3G15,L2,BCU-B,,,
T3,T3G16,L3,BCU-B,,,
T3,T3G17,L4,BCU-B,,,
T3,T3G18,M1,BCU-B,,,
T3,T3G19,M2,BCU-B,,,
T3,T3G20,,,,,
T3,T3G21,,,,,
T3,T3G22,,,,,
T3,T3G23,,,,,
T3,T3G24,,,,,
T3,T3G25,,,,,
T3,T3H1,B2,BCU-C,,,
T3,T3H2,C3,BCU-C,,,
T3,T3H3,D1,BCU-C,,,
T3,T3H4,D2,BCU-C,,,
T3,T3H5,D3,BCU-C,,,
T3,T3H6,D4,BCU-C,,,
T3,T3H7,E1,BCU-C,,,
T3,T3H8,E3,BCU-C,,,
T3,T3H9,E4,BCU-C,,,
T3,T3H10,F1,BCU-C,,,
T3,T3H11,F2,BCU-C,,,
T3,T3H12,G1,BCU-C,,,
T3,T3H13,H1,BCU-C,,,
T3,T3H14,H3,BCU-C,,,
T3,T3H15,H4,BCU-C,,,
T3,T3H16,,,,,
T3,T3H17,,,,,
T3,T3H18,,,,,
T3,T3H19,,,,,
T3,T3H20,,,,,
T3,T3H21,,,,,
T3,T3H22,,,,,
T3,T3H23,,,,,
T3,T3H24,,,,,
T3,T3H25,,,,,
T3,T3I1,A1,BCU-D,,,
T3,T3I2,A2,BCU-D,,,
T3,T3I3,A4,BCU-D,,,
T3,T3I4,B1,BCU-D,,,
T3,T3I5,B3,BCU-D,,,
T3,T3I6,B4,BCU-D,,,
T3,T3I7,C2,BCU-D,,,
T3,T3I8,C3,BCU-D,,,
T3,T3I9,J1,BCU-D,,,
T3,T3I10,J2,BCU-D,,,
T3,T3I11,K1,BCU-D,,,
T3,T3I12,K2,BCU-D,,,
T3,T3I13,L1,BCU-D,,,
T3,T3I14,L2,BCU-D,,,
T3,T3I15,M3,BCU-D,,,
T3,T3I16,M4,BCU-D,,,
T3,T3I17,,,,,
T3,T3I18,,,,,
T3,T3I19,,,,,
T3,T3I20,,,,,
T3,T3I21,,,,,
T3,T3I22,,,,,
T3,T3I23,,,,,
T3,T3I24,,,,,
T3,T3I25,,,,,
